date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.3,2.2,1.12,0.45,1.35,0.453,315
2019-12-10T00:00:00.000Z,0.45,2.92,0.98,0.84,1.55,0.537,409
2019-12-11T00:00:00.000Z,0.4,2.97,1.48,1.2,1.87,0.509,426
2019-12-12T00:00:00.000Z,0.2,13.36,8.75,0.66,11.27,4.968,485
2019-12-13T00:00:00.000Z,1.55,15.92,5.09,3.84,8.07,2.687,557
2019-12-14T00:00:00.000Z,1.1,7.97,2.86,1.84,4.63,1.866,403
2019-12-15T00:00:00.000Z,0.5,7.83,1.3,1.05,1.72,0.59,578
2019-12-16T00:00:00.000Z,0.82,3.1,1.29,1.12,1.72,0.456,290
2019-12-17T00:00:00.000Z,1.2,4.95,3.01,2.44,3.51,0.765,290
2019-12-18T00:00:00.000Z,0.2,3.54,0.75,0.49,0.94,0.389,463
2019-12-19T00:00:00.000Z,0.62,6.55,2.1,1.35,2.84,1.083,554
2019-12-20T00:00:00.000Z,2.65,24.06,8.44,5.84,11.14,3.357,592
2019-12-21T00:00:00.000Z,8,43.54,17.55,16.27,22.37,4.364,577
2019-12-22T00:00:00.000Z,1.12,8.38,2.84,2.06,4.38,1.554,589
2019-12-23T00:00:00.000Z,1.66,5.09,2.98,2.44,3.32,0.615,591
2019-12-24T00:00:00.000Z,2.66,5.69,3.51,3.2,3.97,0.519,595
2019-12-25T00:00:00.000Z,0.66,6.28,2.76,2.22,3.86,1.296,586
2019-12-26T00:00:00.000Z,0.64,2.66,1.4,1.1,1.72,0.456,593
2019-12-27T00:00:00.000Z,0.38,2.54,1.68,1.35,1.85,0.48,587
2019-12-28T00:00:00.000Z,1.07,4,1.96,1.68,2.22,0.426,587
2019-12-29T00:00:00.000Z,1.72,11.22,4.98,2.97,7.02,2.55,587
2019-12-30T00:00:00.000Z,0.75,9.1,2.75,2.08,3.32,1.36,584
2019-12-31T00:00:00.000Z,0.15,8.77,0.6,0.4,0.74,0.884,574
2020-01-01T00:00:00.000Z,0.6,3.8,1.06,0.9,1.8,0.619,585
2020-01-02T00:00:00.000Z,1.38,7.47,4.43,3.42,5.22,1.419,571
2020-01-03T00:00:00.000Z,0.27,4.63,0.74,0.57,1.24,0.822,552
2020-01-04T00:00:00.000Z,0.25,1.65,0.64,0.5,0.84,0.256,558
2020-01-05T00:00:00.000Z,0.56,1.82,1.03,0.87,1.2,0.232,563
2020-01-06T00:00:00.000Z,0.3,2.45,1.44,1.14,1.7,0.436,521
2020-01-07T00:00:00.000Z,0.28,7.15,2.54,0.68,4.36,1.92,523
2020-01-08T00:00:00.000Z,0.45,3.06,1.83,1.65,2.04,0.411,506
2020-01-09T00:00:00.000Z,1.47,4.15,2.22,2.02,2.61,0.485,539
2020-01-10T00:00:00.000Z,1.27,5.78,2.27,1.82,3.27,1.031,429
2020-01-11T00:00:00.000Z,0.45,4.59,1.69,1.12,2.5,0.882,532
2020-01-12T00:00:00.000Z,0.16,2.38,1.2,0.55,1.45,0.521,559
2020-01-13T00:00:00.000Z,1.05,14.78,1.8,1.56,2.1,1.21,488
2020-01-14T00:00:00.000Z,1.25,6.85,2.27,1.78,3.32,1.151,441
2020-01-15T00:00:00.000Z,0.32,3.15,1.15,0.94,1.54,0.533,463
2020-01-16T00:00:00.000Z,0.4,5,2.52,1.88,2.92,0.835,471
2020-01-17T00:00:00.000Z,1.34,11.92,4.11,2.23,8.9,3.423,469
2020-01-18T00:00:00.000Z,0.25,16.87,7.48,1.29,10.41,4.646,505
2020-01-19T00:00:00.000Z,0.38,2.15,0.7,0.57,0.8,0.198,478
2020-01-20T00:00:00.000Z,0.53,2.62,1.33,1.14,1.63,0.43,365
2020-01-21T00:00:00.000Z,0.3,3.16,0.76,0.52,2.06,0.811,463
2020-01-22T00:00:00.000Z,0.2,0.63,0.41,0.4,0.5,0.113,14
2020-01-23T00:00:00.000Z,0.62,1.54,0.97,0.84,1.1,0.205,85
2020-01-24T00:00:00.000Z,0.6,2.37,1.1,0.95,1.25,0.232,267
2020-01-25T00:00:00.000Z,0.4,2.2,0.8,0.65,1.36,0.491,298
2020-01-26T00:00:00.000Z,0.45,3.7,1.1,0.86,1.38,0.426,305
2020-01-27T00:00:00.000Z,1.72,9.74,4.28,2.9,5.24,1.863,255
2020-01-28T00:00:00.000Z,1.65,9.22,5.04,4.38,6.39,1.674,274
2020-01-29T00:00:00.000Z,0.68,6.29,2.29,1.22,3.47,1.481,313
2020-01-30T00:00:00.000Z,0.65,7.55,2.46,1.84,3.01,0.944,295
2020-01-31T00:00:00.000Z,0.25,5.45,1,0.53,1.99,1.041,280
2020-02-01T00:00:00.000Z,0.3,2.63,1.52,1.21,1.76,0.487,324
2020-02-02T00:00:00.000Z,0.2,1.56,0.46,0.35,0.65,0.272,330
2020-02-03T00:00:00.000Z,0.25,3.86,0.79,0.43,1.6,0.872,308
2020-02-04T00:00:00.000Z,0.5,2.1,1.1,0.95,1.33,0.325,260
2020-02-05T00:00:00.000Z,0.34,1.95,0.66,0.55,0.8,0.198,232
2020-02-06T00:00:00.000Z,0.23,2.68,0.76,0.55,1.14,0.527,236
2020-02-07T00:00:00.000Z,0.8,3.44,1.96,1.6,2.44,0.559,214
2020-02-08T00:00:00.000Z,0.75,4.65,1.83,1.17,2.76,0.936,196
2020-02-09T00:00:00.000Z,2.15,12.64,6.14,4.58,7.63,2.029,365
2020-02-10T00:00:00.000Z,0.3,3.37,1.23,1.02,1.58,0.606,352
2020-02-11T00:00:00.000Z,0.8,3.15,1.74,1.46,1.99,0.406,364
2020-02-12T00:00:00.000Z,0.42,3.4,1,0.72,2,0.771,383
2020-02-13T00:00:00.000Z,0.45,2.02,0.78,0.68,0.97,0.243,381
2020-02-14T00:00:00.000Z,0.6,3.58,1.28,0.99,1.76,0.58,388
2020-02-15T00:00:00.000Z,1.06,4.74,2.12,1.75,2.84,0.873,329
2020-02-16T00:00:00.000Z,0.35,7.7,1.78,0.9,2.87,1.641,373
2020-02-17T00:00:00.000Z,0.3,2.92,1.49,1.1,1.86,0.56,352
2020-02-18T00:00:00.000Z,0.6,3.57,2,1.46,2.48,0.66,307
2020-02-19T00:00:00.000Z,0.36,2.45,1.1,0.76,1.5,0.414,459
2020-02-20T00:00:00.000Z,0.44,4.3,1.08,0.9,1.36,0.704,506
2020-02-21T00:00:00.000Z,0.35,5.95,1.66,0.94,2.52,1.327,419
2020-02-22T00:00:00.000Z,0.1,3.47,0.7,0.5,1.02,0.368,423
2020-02-23T00:00:00.000Z,0.22,3.28,0.6,0.45,1.12,0.594,441
2020-02-24T00:00:00.000Z,0.3,10.48,0.92,0.7,1.3,0.831,525
2020-02-25T00:00:00.000Z,0.4,1.98,0.94,0.78,1.21,0.308,453
2020-02-26T00:00:00.000Z,0.35,1.18,0.68,0.61,0.76,0.121,391
2020-02-27T00:00:00.000Z,0.5,2.33,0.99,0.8,1.18,0.26,549
2020-02-28T00:00:00.000Z,0.46,3.13,1.12,0.9,1.45,0.452,557
2020-02-29T00:00:00.000Z,0.9,6.06,1.95,1.55,3.22,1.087,575
2020-03-01T00:00:00.000Z,0.64,6.68,1.54,1.3,1.82,1.129,571
2020-03-02T00:00:00.000Z,0.9,3.4,1.88,1.55,2.16,0.42,470
2020-03-03T00:00:00.000Z,1.47,10.5,3.39,2.58,4.73,1.983,424
2020-03-04T00:00:00.000Z,0.3,10.15,0.72,0.54,1.05,1.914,587
2020-03-05T00:00:00.000Z,0.55,3.16,1,0.85,1.3,0.525,587
2020-03-06T00:00:00.000Z,0.4,3.1,1.23,0.88,1.58,0.455,590
2020-03-07T00:00:00.000Z,1.3,30.38,3.85,2.84,6.47,3.547,592
2020-03-08T00:00:00.000Z,3.34,20.05,6.74,5.98,8.19,1.813,590
2020-03-09T00:00:00.000Z,0.92,11.84,3.58,1.87,6.15,2.99,584
2020-03-10T00:00:00.000Z,0.94,12.55,3.59,2.58,6.32,2.686,586
2020-03-11T00:00:00.000Z,0.2,3.3,1.38,0.66,2.25,0.825,575
2020-03-12T00:00:00.000Z,0.3,2.5,1.2,0.87,1.6,0.47,492
